Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team,nba_player_id,nba_id
2021,2,40,Jared Butler,PG,6-3,193.0,20.0,Baylor,Jr *,NOP to  MEM MEM  to UTA,4,UTA,,1630215.0
2021,2,57,Balsa Koprivica,C,7-1,240.0,21.0,Florida State,So *,CHA to  DET DET  to LAC LAC  to UTA,0,UTA,,
2020,2,39,Elijah Hughes,SF,6-5,215.0,22.0,Syracuse,Jr *,NOP to  UTA,2,UTA,,1630190.0
2019,2,50,Jarrell Brantley,SF,6-5,250.0,23.0,Charleston,Sr,IND to  UTA,3,UTA,,1629714.0
2019,2,58,Miye Oni,SF,6-5,206.0,21.0,Yale,Jr *,GSW to  UTA,3,UTA,,1629671.0
2017,1,13,Donovan Mitchell,SG,6-2,215.0,20.0,Louisville,So *,DEN to  UTA,8,UTA,,1628378.0
2017,1,28,Tony Bradley,C,6-10,248.0,19.0,North Carolina,Fr *,LAL to  UTA,7,UTA,,1628396.0
2016,2,55,Marcus Paige,G,6-0,164.0,22.0,North Carolina,Sr,BKN to  UTA,1,UTA,,1627779.0
2013,1,9,Trey Burke,G,6-0,185.0,20.0,Michigan,So *,MIN to  UTA,9,UTA,,203504.0
2013,1,27,Rudy Gobert,C,7-1,258.0,21.0,Cholet Basket (France),1992 DOB *,DEN to  UTA,12,UTA,,203497.0
2013,2,47,Raulzinho Neto,PG,6-2,180.0,21.0,Gipuzkoa Basket (Spain),1992 DOB *,ATL to  UTA,8,UTA,,
2010,2,31,Tibor Pleiss,C,7-3,256.0,20.0,Brose Baskets Bamberg (Germany),1989 DOB *,NJN to  ATL ATL  to OKC OKC  to UTA,1,UTA,,202353.0
2008,2,51,Shan Foster,GF,6-6,195.0,21.0,Vanderbilt,Sr,DAL to  UTA,0,UTA,,
2007,2,38,Kyrylo Fesenko,C,7-1,280.0,20.0,BK Cherkassy (Ukraine),1986 DOB *,PHI to  UTA,5,UTA,,201178.0
2003,2,36,Mario Austin,F,6-10,260.0,21.0,Mississippi State,Jr *,CHI to  UTA,0,UTA,,
2002,1,18,Curtis Borchardt,C,7-0,240.0,21.0,Stanford,Jr *,ORL to  UTA,3,UTA,,2414.0
2002,2,48,Peter Fehse,F,7-0,205.0,19.0,SV Halle (Germany),1983 DOB *,OKC to  UTA,0,UTA,,
1974,4,61,Eddie Palubinskas,PG,6-0,180.0,23.0,LSU Shreveport,Sr,ATL to  NOJ,0,UTA,,
